id,team,player,player_id,position,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
301026002,Miami Heat,C. Bosh,1977,PF,38,3-11,0-0,2-2,2,6,8,2,1,1,1,4,-17,8
301026002,Miami Heat,L. James,1966,SF,43,10-21,3-6,8-12,0,4,4,3,1,2,8,1,+1,31
301026002,Miami Heat,J. Anthony,3247,C,17,1-1,0-0,0-0,3,4,7,1,0,1,0,2,-12,2
301026002,Miami Heat,C. Arroyo,1055,PG,13,1-3,0-0,1-1,0,0,0,0,0,0,0,0,-5,3
301026002,Miami Heat,D. Wade,1987,SG,37,4-16,1-3,4-6,0,4,4,6,3,0,6,4,-18,13
301026002,Miami Heat,U. Haslem,2184,PF,31,3-7,0-0,2-2,4,7,11,0,0,1,0,4,-4,8
301026002,Miami Heat,J. Howard,351,PF,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
301026002,Miami Heat,D. Pittman,4283,C,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
301026002,Miami Heat,Z. Ilgauskas,362,C,11,0-0,0-0,1-2,2,1,3,0,3,1,2,4,+17,1
301026002,Miami Heat,J. Magloire,498,C,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
301026002,Miami Heat,M. Chalmers,3419,PG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
301026002,Miami Heat,J. Jones,2009,SG,26,2-7,2-7,0-0,0,2,2,1,1,0,0,2,-2,6
301026002,Miami Heat,E. House,348,SG,27,3-8,2-4,0-0,0,0,0,2,1,0,0,0,+0,8
301026002,Miami Heat,M. Miller,558,SG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,+0,0
301026002,Boston Celtics,K. Garnett,261,PF,35,4-11,0-0,2-4,2,8,10,3,3,0,7,5,+7,10
301026002,Boston Celtics,P. Pierce,662,SF,41,4-7,3-4,8-8,1,8,9,3,1,0,3,3,+12,19
301026002,Boston Celtics,S. O'Neal,614,C,18,3-7,0-0,3-8,2,5,7,0,0,1,1,2,+7,9
301026002,Boston Celtics,R. Rondo,3026,PG,41,2-9,0-0,0-0,1,4,5,17,2,0,3,1,+4,4
301026002,Boston Celtics,R. Allen,9,SG,39,7-13,5-8,1-1,0,1,1,1,0,0,1,1,-2,20
301026002,Boston Celtics,G. Davis,3200,PF,29,6-7,0-0,1-2,1,4,5,0,0,1,0,2,+1,13
