id,date,home_team,home_team_score,visit_team,visit_team_score
301026002,2011-10-26,Boston Celtics,88,Miami Heat,80
301027005,2011-10-27,Cleveland Cavaliers,95,Boston Celtics,87
301029002,2011-10-29,Boston Celtics,105,New York Knicks,101
301102008,2011-11-02,Detroit Pistons,86,Boston Celtics,109
301103002,2011-11-03,Boston Celtics,105,Milwaukee Bucks,102
301105002,2011-11-05,Boston Celtics,110,Chicago Bulls,105
301107025,2011-11-07,Oklahoma City Thunder,83,Boston Celtics,92
301108006,2011-11-08,Dallas Mavericks,89,Boston Celtics,87
301111014,2011-11-11,Miami Heat,107,Boston Celtics,112
301113029,2011-11-13,Memphis Grizzlies,110,Boston Celtics,116
301117002,2011-11-17,Boston Celtics,114,Washington Wizards,83
301119002,2011-11-19,Boston Celtics,84,Oklahoma City Thunder,89
301121028,2011-11-21,Toronto Raptors,102,Boston Celtics,101
301122001,2011-11-22,Atlanta Hawks,76,Boston Celtics,99
301124002,2011-11-24,Boston Celtics,89,Brooklyn Nets,83
301126002,2011-11-26,Boston Celtics,110,Toronto Raptors,101
301130005,2011-11-30,Cleveland Cavaliers,87,Boston Celtics,106
301201002,2011-12-01,Boston Celtics,99,Portland Trail Blazers,95
301203002,2011-12-03,Boston Celtics,104,Chicago Bulls,92
301205017,2011-12-05,Brooklyn Nets,75,Boston Celtics,100
301208002,2011-12-08,Boston Celtics,105,Denver Nuggets,89
301209020,2011-12-09,Philadelphia 76ers,101,Boston Celtics,102
301211030,2011-12-11,Charlotte Hornets,62,Boston Celtics,93
301215018,2011-12-15,New York Knicks,116,Boston Celtics,118
301216002,2011-12-16,Boston Celtics,102,Atlanta Hawks,90
301219002,2011-12-19,Boston Celtics,99,Indiana Pacers,88
301222002,2011-12-22,Boston Celtics,84,Philadelphia 76ers,80
301225019,2011-12-25,Orlando Magic,86,Boston Celtics,78
301228011,2011-12-28,Indiana Pacers,83,Boston Celtics,95
301229008,2011-12-29,Detroit Pistons,104,Boston Celtics,92
301231002,2011-12-31,Boston Celtics,81,New Orleans Pelicans,83
310102028,2011-01-02,Toronto Raptors,79,Boston Celtics,93
310103002,2011-01-03,Boston Celtics,96,Minnesota Timberwolves,93
310105002,2011-01-05,Boston Celtics,105,San Antonio Spurs,103
310107002,2011-01-07,Boston Celtics,122,Toronto Raptors,102
310108004,2011-01-08,Chicago Bulls,90,Boston Celtics,79
310110002,2011-01-10,Boston Celtics,102,Houston Rockets,108
310112002,2011-01-12,Boston Celtics,119,Sacramento Kings,95
310114002,2011-01-14,Boston Celtics,99,Charlotte Hornets,94
310117002,2011-01-17,Boston Celtics,109,Orlando Magic,106
310119002,2011-01-19,Boston Celtics,86,Detroit Pistons,82
310121002,2011-01-21,Boston Celtics,110,Utah Jazz,86
310122027,2011-01-22,Washington Wizards,85,Boston Celtics,83
310125002,2011-01-25,Boston Celtics,112,Cleveland Cavaliers,95
310127022,2011-01-27,Portland Trail Blazers,78,Boston Celtics,88
310128021,2011-01-28,Phoenix Suns,88,Boston Celtics,71
